model	#contacts	norm_c
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990064.pdb	192	0.7091
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990010.pdb	191	0.7273
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990030.pdb	191	0.7273
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990040.pdb	191	0.7273
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990021.pdb	190	0.7455
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990071.pdb	190	0.7455
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990022.pdb	190	0.7455
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990077.pdb	190	0.7455
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990100.pdb	189	0.7636
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990033.pdb	189	0.7636
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990081.pdb	188	0.7818
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990091.pdb	187	0.8
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990052.pdb	187	0.8
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990098.pdb	186	0.8182
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990079.pdb	185	0.8364
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990068.pdb	185	0.8364
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990005.pdb	184	0.8545
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990082.pdb	184	0.8545
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990065.pdb	183	0.8727
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990037.pdb	183	0.8727
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990001.pdb	181	0.9091
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990002.pdb	180	0.9273
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990055.pdb	179	0.9455
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990032.pdb	178	0.9636
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990097.pdb	178	0.9636
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990078.pdb	178	0.9636
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990063.pdb	176	1.0
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990026.pdb	176	1.0
