model	distance N/C-term	norm_d
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990042.pdb	43.5257	0.6269
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990040.pdb	43.3376	0.6204
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990100.pdb	43.2117	0.6161
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990053.pdb	43.0857	0.6117
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990018.pdb	42.1913	0.5809
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990076.pdb	42.1414	0.5792
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990016.pdb	42.0503	0.576
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990060.pdb	42.0178	0.5749
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990097.pdb	41.7139	0.5644
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990023.pdb	41.4229	0.5544
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990092.pdb	41.3819	0.553
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990002.pdb	41.3556	0.5521
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990021.pdb	41.2105	0.5471
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990048.pdb	41.0322	0.5409
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990059.pdb	40.9367	0.5376
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990079.pdb	40.6808	0.5288
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990047.pdb	40.5735	0.5251
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990052.pdb	40.403	0.5192
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990055.pdb	40.2561	0.5142
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990005.pdb	40.0386	0.5067
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990045.pdb	39.9879	0.5049
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990035.pdb	39.7925	0.4982
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990091.pdb	39.7649	0.4972
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990064.pdb	39.73	0.496
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990087.pdb	39.6941	0.4948
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990083.pdb	39.6678	0.4939
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990058.pdb	39.5711	0.4906
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990090.pdb	39.5571	0.4901
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990039.pdb	39.3807	0.484
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990086.pdb	39.0161	0.4714
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990050.pdb	38.4847	0.4531
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990025.pdb	38.3596	0.4488
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990084.pdb	38.1633	0.442
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990056.pdb	38.1563	0.4418
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990033.pdb	38.0039	0.4365
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990030.pdb	37.6308	0.4237
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990096.pdb	37.5456	0.4207
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990001.pdb	37.327	0.4132
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990089.pdb	37.0697	0.4043
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990007.pdb	36.391	0.3809
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990006.pdb	36.356	0.3797
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990015.pdb	35.3247	0.3442
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990017.pdb	35.0727	0.3355
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990036.pdb	34.5228	0.3165
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990038.pdb	34.4243	0.3131
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990061.pdb	33.9812	0.2978
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990027.pdb	33.5033	0.2814
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990067.pdb	33.3047	0.2745
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990031.pdb	33.2723	0.2734
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990029.pdb	32.3818	0.2427
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990044.pdb	32.2992	0.2399
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990073.pdb	31.8821	0.2255
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990010.pdb	31.8054	0.2228
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990012.pdb	31.0273	0.196
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990093.pdb	30.0475	0.1622
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990003.pdb	28.9147	0.1232
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990037.pdb	26.6407	0.0448
../../../../../../modeller/p23_p24/free/p24_model_probuilder_163-193/models_100/models/p24_163-193.B99990098.pdb	25.3412	0.0
